PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,zn,z,n
6.5944843,1.5957131,-0.5326488,2.8921566,-0.5435698,0.7046948,0.47195506,0.32068363,-0.08694446,0.15861605,10-15,10,15
6.5814867,1.6437695,1.031741,2.6286051,0.5370061,0.17369652,0.35249138,0.04701967,0.014718332,0.066837795,10-16,10,16
6.391809,1.5529814,-1.2096394,2.713396,0.68796194,0.022529533,0.12299732,0.10248857,0.08188647,-0.17503342,10-17,10,17
6.412015,1.6314515,0.7602566,2.5688114,1.4118866,-0.390562,-0.12811843,-0.002733351,0.040943775,-0.33183944,10-18,10,18
6.2318482,1.5538137,-1.1687572,2.7465951,0.7955199,-0.0610791,-0.03278616,-0.113310166,0.10755033,-0.35356498,10-19,10,19
6.2467213,1.6274574,1.0767332,2.451265,1.0301727,-0.09150291,-0.052759275,-0.07460805,0.17147458,-0.39286444,10-20,10,20
6.065008,1.5367296,-1.3793306,2.598003,0.59292847,0.013059536,0.14621751,-0.0029195305,0.017917272,-0.07109487,10-21,10,21
6.11269,1.6239209,0.92737484,2.4606802,0.9152548,0.026544675,0.17920278,-0.13741238,0.026173554,-0.102792166,10-22,10,22
5.9343786,1.5450604,-1.1091146,2.5449522,0.29278275,0.33288378,0.023079544,-0.21718612,0.0058381576,-0.49765074,10-23,10,23
5.9909334,1.6117371,1.1611739,2.1970217,0.4786535,0.34028208,-0.105540834,-0.047540154,-0.03970849,-0.5094679,10-24,10,24
7.1295123,-0.9806895,-1.5971855,3.2771976,0.18353397,-0.46763685,-0.14710492,-0.042604964,0.7181167,-0.29582205,11-9,11,9
7.090414,-0.8666053,1.4026053,3.152468,0.7245652,-0.67472917,-0.12821576,-0.080449015,0.87574416,-0.21941616,11-10,11,10
6.890204,-0.9729527,-0.9040341,3.1262589,-0.38517088,-0.07954233,-0.25763378,-0.16206786,0.7172126,-0.646115,11-11,11,11
6.8850293,-0.8849347,1.795892,2.8450825,-0.144571,-0.13915098,-0.3361074,-0.07520341,0.724945,-0.7350916,11-12,11,12
6.6823754,-0.98953855,-0.6347106,2.8171828,-0.9487994,0.30346057,-0.08609881,-0.038454767,0.431142,-0.41168115,11-13,11,13
6.6862555,-0.9049709,1.9584942,2.4822717,-0.4489685,0.19963168,0.24515039,0.1184992,0.5106529,-0.01083608,11-14,11,14
6.4560623,-0.9906628,-0.43665692,2.6106975,-0.8612978,0.36558416,0.3883281,0.2032528,0.45404235,0.19983214,11-15,11,15
6.443065,-0.9426066,1.127733,2.3471446,0.21927807,-0.16541387,0.26886457,-0.070411146,0.55570495,0.10805397,11-16,11,16
6.253387,-1.0333948,-1.1136475,2.431937,0.3702341,-0.31658086,0.039370567,-0.014942203,0.6228732,-0.13381729,11-17,11,17
6.273593,-0.9549242,0.8562481,2.2873518,1.0941586,-0.7296725,-0.21174553,-0.12016412,0.5819304,-0.29062316,11-18,11,18
6.093426,-1.0325621,-1.072765,2.4651358,0.47779197,-0.40018955,-0.116413005,-0.23074111,0.6485371,-0.31234875,11-19,11,19
6.1082993,-0.95891815,1.1727252,2.1698055,0.71244454,-0.43061337,-0.13638602,-0.19203883,0.7124613,-0.35164833,11-20,11,20
5.9265866,-1.0496465,-1.283339,2.3165433,0.27520064,-0.326051,0.06259076,-0.120350406,0.5589042,-0.02987865,11-21,11,21
5.974268,-0.96245474,1.0233669,2.1792207,0.5975266,-0.31256583,0.095575936,-0.25484312,0.5671602,-0.061575953,11-22,11,22
5.795957,-1.0413156,-1.0131229,2.263493,-0.024945388,-0.0062267366,-0.06054736,-0.3346169,0.5468249,-0.4564346,11-23,11,23
5.852511,-0.97463864,1.2571661,1.9155623,0.16092558,0.0011716154,-0.18916765,-0.16497107,0.5012782,-0.46825176,11-24,11,24
5.7075815,-1.0531417,-0.7527066,2.0874376,-0.6546336,0.41275,0.049922816,-0.066144936,0.4129637,-0.33186164,11-25,11,25
5.7317915,-0.9902397,1.2751942,1.8010585,-0.16111596,0.19848102,0.031870764,0.022780145,0.2820902,-0.17204522,11-26,11,26
7.04622,1.5978659,-1.6964893,2.775075,-0.01198794,-0.6931713,-0.44949725,0.18926105,0.6491622,-0.20959269,12-9,12,9
7.0071216,1.7119497,1.3033013,2.6503468,0.5290437,-0.90026325,-0.43060783,0.15141685,0.80678946,-0.13318685,12-10,12,10
6.8069105,1.6056026,-1.0033385,2.6241362,-0.58069265,-0.30507684,-0.56002593,0.06979806,0.6482581,-0.5598855,12-11,12,11
6.801736,1.6936204,1.6965867,2.3429601,-0.34009296,-0.3646855,-0.6384998,0.15666255,0.6559904,-0.64886236,12-12,12,12
6.5990825,1.5890167,-0.73401517,2.3150609,-1.1443211,0.077926055,-0.38849083,0.19341114,0.36218753,-0.32545203,12-13,12,13
6.6029634,1.6735841,1.8591905,1.9801496,-0.6444895,-0.025902474,-0.057241697,0.3503651,0.44169855,0.07539323,12-14,12,14
6.3727694,1.587892,-0.5359614,2.1085753,-1.0568193,0.1400499,0.08593619,0.43511873,0.38508788,0.28606153,12-15,12,15
